epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0671,1.36928,5.1707,3.15605,1.44257,0,0.0068,0.82895,0.53629,0.29692,0.00346,0.37854,0.08152,0.03061,1.25655,5.16344,3.45562,1.47742,0,0.000527883,0.000527883,0.000527883
2,44.4575,1.3313,4.01308,2.27017,1.40967,0,0.66599,0.11538,0.35251,0.16475,0.583,0.05769,0.14632,0.04844,1.51973,4.84875,3.30997,1.81212,0,0.00107282,0.00107282,0.00107282
3,61.8426,1.40494,3.63861,1.91287,1.45032,0,0.76632,0.33227,0.47146,0.23231,0.21506,0.0587,0.04018,0.01412,1.67014,6.59463,3.12541,1.96228,0,0.00160676,0.00160676,0.00160676
4,79.3558,1.41128,3.57293,1.8848,1.46231,0,0.75825,0.39423,0.50864,0.29597,0.24768,0.04555,0.02512,0.00372,1.51232,5.78257,2.8051,1.83693,0,0.00161749,0.00161749,0.00161749
5,96.9221,1.28431,3.37342,1.63034,1.36497,0,0.32309,0.48482,0.40012,0.19883,0.14714,0.1832,0.08921,0.03876,1.73625,6.26587,2.84424,2.28954,0,0.00160099,0.00160099,0.00160099
6,114.574,1.26384,3.2104,1.51161,1.35993,0,0.69574,0.53574,0.58381,0.32734,0.29317,0.20951,0.18223,0.08144,1.58915,6.99306,2.55498,1.89324,0,0.00158448,0.00158448,0.00158448
7,132.937,1.26339,3.21167,1.46499,1.35548,0,0.7061,0.57692,0.66491,0.37791,0.49601,0.333,0.30153,0.11619,1.36013,4.33282,2.11588,1.57324,0,0.00156798,0.00156798,0.00156798
8,151.749,1.2246,2.9982,1.37023,1.30693,0,0.66748,0.63462,0.65245,0.4165,0.4341,0.34217,0.31931,0.15644,1.38067,3.88495,1.98088,1.60557,0,0.00155148,0.00155148,0.00155148
9,170.974,1.2224,2.976,1.32682,1.29791,0,0.8178,0.67624,0.72867,0.43647,0.4606,0.3584,0.30903,0.1578,1.5204,4.23857,1.83723,1.77932,0,0.00153497,0.00153497,0.00153497
10,190.578,1.18544,2.74947,1.23251,1.28571,0,0.75504,0.667,0.76257,0.44521,0.42219,0.34615,0.31552,0.15495,1.44601,3.57884,1.73649,1.68249,0,0.00151847,0.00151847,0.00151847
11,210.446,1.15964,2.78383,1.18242,1.28032,0,0.78139,0.6908,0.76281,0.49649,0.56529,0.44728,0.4192,0.20765,1.29353,3.55451,1.51191,1.54877,0,0.00150197,0.00150197,0.00150197
12,230.368,1.15546,2.89792,1.1941,1.26417,0,0.76803,0.7577,0.79161,0.51755,0.50453,0.46629,0.36372,0.17741,1.22808,3.76071,1.51119,1.43006,0,0.00148546,0.00148546,0.00148546
13,250.144,1.09166,2.55671,1.09816,1.2367,0,0.80028,0.68905,0.74065,0.49551,0.58393,0.5036,0.4931,0.20648,1.23136,3.56688,1.5029,1.50912,0,0.00146896,0.00146896,0.00146896
14,269.901,1.08666,2.53882,1.11271,1.2363,0,0.75575,0.65182,0.72651,0.46988,0.42055,0.34514,0.28936,0.13808,1.24228,3.52016,1.45963,1.49658,0,0.00145246,0.00145246,0.00145246
15,289.753,1.0997,2.66792,1.07348,1.20088,0,0.83059,0.71154,0.78215,0.52108,0.54325,0.46761,0.39479,0.19528,1.20928,3.22361,1.39463,1.42666,0,0.00143595,0.00143595,0.00143595
16,309.617,1.00816,2.50715,1.019,1.19663,0,0.88192,0.71513,0.79565,0.55289,0.68661,0.47225,0.44042,0.21995,1.14233,3.11381,1.40231,1.37627,0,0.00141945,0.00141945,0.00141945
17,329.784,0.99949,2.42264,0.97236,1.18215,0,0.77263,0.69838,0.78649,0.56816,0.55965,0.58401,0.54541,0.24244,1.10995,3.00509,1.35871,1.37874,0,0.00140295,0.00140295,0.00140295
18,349.977,1.00898,2.46372,0.98355,1.1954,0,0.76799,0.64816,0.72668,0.5223,0.60123,0.4495,0.37114,0.19607,1.13422,3.6751,1.54418,1.41334,0,0.00138644,0.00138644,0.00138644
19,369.749,0.99589,2.38192,0.91681,1.17045,0,0.90875,0.69189,0.79376,0.53668,0.73685,0.52652,0.48586,0.21867,1.16731,3.30841,1.28485,1.48437,0,0.00136994,0.00136994,0.00136994
20,389.783,1.00656,2.43305,0.92618,1.16381,0,0.84444,0.77024,0.78943,0.53531,0.55893,0.4747,0.37962,0.17101,1.14101,3.55644,1.22838,1.36913,0,0.00135344,0.00135344,0.00135344
21,409.74,1.0096,2.5038,0.92908,1.1559,0,0.85497,0.75564,0.82035,0.60575,0.70392,0.52006,0.50618,0.2376,1.05037,3.39547,1.11163,1.29971,0,0.00133693,0.00133693,0.00133693
22,429.523,0.9919,2.45344,0.9269,1.15994,0,0.80144,0.75709,0.80307,0.55649,0.591,0.55162,0.48625,0.20319,1.09487,3.42381,1.12105,1.37741,0,0.00132043,0.00132043,0.00132043
23,449.086,0.93017,2.23778,0.87785,1.12747,0,0.84446,0.70547,0.77189,0.56103,0.69774,0.5277,0.5079,0.25282,1.09365,3.26481,1.10254,1.41117,0,0.00130393,0.00130393,0.00130393
24,468.631,0.94166,2.20691,0.85191,1.13601,0,0.81871,0.70071,0.77698,0.60037,0.65784,0.55263,0.50411,0.27034,1.09412,3.29871,1.15812,1.38902,0,0.00128742,0.00128742,0.00128742
25,488.274,0.94107,2.23071,0.85821,1.13641,0,0.83781,0.69939,0.79337,0.60834,0.69194,0.55276,0.51473,0.2699,1.05646,3.37429,1.05764,1.38939,0,0.00127092,0.00127092,0.00127092
26,507.943,0.94835,2.20744,0.85685,1.13489,0,0.91897,0.65059,0.7915,0.57394,0.77876,0.5215,0.58521,0.27636,1.11912,3.02793,1.12872,1.44121,0,0.00125442,0.00125442,0.00125442
27,527.553,0.94267,2.23773,0.85415,1.14082,0,0.85603,0.73684,0.81552,0.60434,0.71811,0.64862,0.63019,0.28473,1.02978,3.08505,0.9609,1.31836,0,0.00123791,0.00123791,0.00123791
28,547.217,0.90561,2.22015,0.80901,1.11628,0,0.80923,0.76417,0.81562,0.59762,0.66056,0.57867,0.57016,0.29369,1.06506,3.2276,0.99546,1.41631,0,0.00122141,0.00122141,0.00122141
29,567.159,0.92644,2.12493,0.82808,1.12429,0,0.78763,0.70064,0.72936,0.51593,0.66589,0.58742,0.56822,0.23629,1.13287,3.27629,1.14281,1.44612,0,0.00120491,0.00120491,0.00120491
30,586.897,0.9253,2.16054,0.811,1.13225,0,0.75651,0.77126,0.75841,0.56224,0.62356,0.61741,0.58257,0.26451,1.08103,3.46396,1.1384,1.41804,0,0.0011884,0.0011884,0.0011884
31,606.702,0.90928,2.17979,0.80908,1.11835,0,0.8071,0.82895,0.8605,0.65571,0.65615,0.62324,0.55203,0.26731,1.00249,3.55727,1.0222,1.29104,0,0.0011719,0.0011719,0.0011719
32,626.658,0.84347,2.07747,0.7267,1.08138,0,0.8701,0.79365,0.85284,0.63575,0.72227,0.62876,0.63729,0.30567,1.05576,3.45371,0.92469,1.3722,0,0.0011554,0.0011554,0.0011554
33,646.529,0.8988,2.17283,0.79605,1.10674,0,0.84376,0.77709,0.84397,0.60449,0.70489,0.62608,0.60544,0.26531,1.09515,3.63069,0.93128,1.40482,0,0.00113889,0.00113889,0.00113889
34,666.258,0.89955,2.10854,0.74629,1.10091,0,0.8859,0.77126,0.84518,0.63744,0.73383,0.60425,0.59277,0.31742,1.05823,3.26127,0.92696,1.31675,0,0.00112239,0.00112239,0.00112239
35,686.025,0.8383,2.02575,0.70733,1.07437,0,0.90829,0.73433,0.84621,0.62583,0.76807,0.59761,0.65121,0.32563,1.05809,2.88357,0.89941,1.35688,0,0.00110589,0.00110589,0.00110589
